"","ensembl_gene_id","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"ENSG00000001461","ENSG00000001461","1",24413515,24476735,1,"protein_coding","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"ENSG00000001497","ENSG00000001497","X",65438549,65534818,-1,"protein_coding","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"ENSG00000001561","ENSG00000001561","6",46129959,46152554,1,"protein_coding","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"ENSG00000001617","ENSG00000001617","3",50155012,50189075,1,"protein_coding","SEMA3F","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"ENSG00000001626","ENSG00000001626","7",117287120,117715971,1,"protein_coding","CFTR","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]"
"ENSG00000001629","ENSG00000001629","7",92245960,92402070,1,"protein_coding","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
"ENSG00000001630","ENSG00000001630","7",92084502,92134803,-1,"protein_coding","CYP51A1","cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
"ENSG00000001631","ENSG00000001631","7",92197498,92246166,-1,"protein_coding","KRIT1","KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]"
"ENSG00000002016","ENSG00000002016","12",910870,990053,-1,"protein_coding","RAD52","RAD52 DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"
"ENSG00000002330","ENSG00000002330","11",64269828,64291946,-1,"protein_coding","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"ENSG00000002549","ENSG00000002549","4",17577167,17608089,1,"protein_coding","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]"
"ENSG00000002586","ENSG00000002586","X",2690988,2741312,1,"protein_coding","CD99","CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"ENSG00000002587","ENSG00000002587","4",11393150,11429564,-1,"protein_coding","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000002726","ENSG00000002726","7",150824627,150872465,1,"protein_coding","AOC1","amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]"
"ENSG00000002745","ENSG00000002745","7",121325367,121341252,1,"protein_coding","WNT16","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]"
"ENSG00000002746","ENSG00000002746","7",43112629,43566001,1,"protein_coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"ENSG00000002822","ENSG00000002822","7",1815787,2233243,-1,"protein_coding","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"ENSG00000002834","ENSG00000002834","17",38869185,38921771,1,"protein_coding","LASP1","LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]"
"ENSG00000002919","ENSG00000002919","17",48103357,48128226,1,"protein_coding","SNX11","sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]"
"ENSG00000002933","ENSG00000002933","7",150799598,150805122,1,"protein_coding","TMEM176A","transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]"
"ENSG00000003056","ENSG00000003056","12",8940358,8951856,-1,"protein_coding","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
"ENSG00000003096","ENSG00000003096","X",117897794,118117340,-1,"protein_coding","KLHL13","kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]"
"ENSG00000003137","ENSG00000003137","2",72129238,72148430,-1,"protein_coding","CYP26B1","cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"ENSG00000003147","ENSG00000003147","7",8113181,8262693,-1,"protein_coding","ICA1","islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
"ENSG00000003249","ENSG00000003249","16",90004648,90019890,-1,"protein_coding","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]"
"ENSG00000003393","ENSG00000003393","2",201700267,201782112,-1,"protein_coding","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]"
"ENSG00000003400","ENSG00000003400","2",201182693,201229428,1,"protein_coding","CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"ENSG00000003402","ENSG00000003402","2",201116005,201176687,1,"protein_coding","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"ENSG00000003436","ENSG00000003436","2",187463823,187565846,-1,"protein_coding","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
"ENSG00000003509","ENSG00000003509","2",37231628,37271420,1,"protein_coding","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]"
"ENSG00000003756","ENSG00000003756","3",50088898,50119021,1,"protein_coding","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]"
"ENSG00000003987","ENSG00000003987","8",17294951,17413528,-1,"protein_coding","MTMR7","myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]"
"ENSG00000003989","ENSG00000003989","8",17496975,17570573,1,"protein_coding","SLC7A2","solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"ENSG00000004059","ENSG00000004059","7",127588359,127591705,1,"protein_coding","ARF5","ARF GTPase 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"ENSG00000004139","ENSG00000004139","17",28364356,28404049,1,"protein_coding","SARM1","sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]"
"ENSG00000004142","ENSG00000004142","17",28343133,28357623,-1,"protein_coding","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
"ENSG00000004399","ENSG00000004399","3",129555213,129606826,-1,"protein_coding","PLXND1","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]"
"ENSG00000004455","ENSG00000004455","1",33006560,33080996,-1,"protein_coding","AK2","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]"
"ENSG00000004468","ENSG00000004468","4",15778275,15853232,1,"protein_coding","CD38","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
"ENSG00000004478","ENSG00000004478","12",2794290,2806410,1,"protein_coding","FKBP4","FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]"
"ENSG00000004487","ENSG00000004487","1",23019395,23083704,1,"protein_coding","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]"
"ENSG00000004534","ENSG00000004534","3",49940007,50100045,1,"protein_coding","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
"ENSG00000004660","ENSG00000004660","17",3860315,3894891,-1,"protein_coding","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
"ENSG00000004700","ENSG00000004700","12",21464720,21501669,-1,"protein_coding","RECQL","RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]"
"ENSG00000004766","ENSG00000004766","7",93232340,93361123,1,"protein_coding","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]"
"ENSG00000004776","ENSG00000004776","19",35754566,35758079,-1,"protein_coding","HSPB6","heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]"
"ENSG00000004777","ENSG00000004777","19",35774532,35788822,1,"protein_coding","ARHGAP33","Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]"
"ENSG00000004779","ENSG00000004779","16",23580952,23596328,-1,"protein_coding","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
"ENSG00000004799","ENSG00000004799","7",95583497,95597638,-1,"protein_coding","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"ENSG00000004809","ENSG00000004809","6",110424687,110476681,-1,"protein_coding","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]"
"ENSG00000004838","ENSG00000004838","3",50341110,50345746,-1,"protein_coding","ZMYND10","zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]"
"ENSG00000004846","ENSG00000004846","7",20615667,20777038,1,"protein_coding","ABCB5","ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]"
"ENSG00000004848","ENSG00000004848","X",25003694,25016420,-1,"protein_coding","ARX","aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]"
"ENSG00000004864","ENSG00000004864","7",96120218,96322181,-1,"protein_coding","SLC25A13","solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]"
"ENSG00000004866","ENSG00000004866","7",116952980,117230812,1,"protein_coding","ST7","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]"
"ENSG00000004897","ENSG00000004897","17",47117703,47189422,-1,"protein_coding","CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]"
"ENSG00000004939","ENSG00000004939","17",44248390,44268162,-1,"protein_coding","SLC4A1","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]"
"ENSG00000004948","ENSG00000004948","7",93424486,93575738,-1,"protein_coding","CALCR","calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]"
"ENSG00000004961","ENSG00000004961","X",11111299,11123086,1,"protein_coding","HCCS","holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]"
"ENSG00000004975","ENSG00000004975","17",7225338,7234538,-1,"protein_coding","DVL2","dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]"
"ENSG00000005001","ENSG00000005001","16",2852728,2858677,-1,"protein_coding","PRSS22","serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
"ENSG00000005007","ENSG00000005007","19",18831905,18868232,1,"protein_coding","UPF1","UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]"
"ENSG00000005020","ENSG00000005020","7",26667003,26995239,-1,"protein_coding","SKAP2","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
"ENSG00000005022","ENSG00000005022","X",119468395,119472949,1,"protein_coding","SLC25A5","solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]"
"ENSG00000005059","ENSG00000005059","4",109560209,109688799,1,"protein_coding","MCUB","mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]"
"ENSG00000005073","ENSG00000005073","7",27181157,27185253,-1,"protein_coding","HOXA11","homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]"
"ENSG00000005075","ENSG00000005075","7",102473110,102478936,-1,"protein_coding","POLR2J","RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]"
"ENSG00000005100","ENSG00000005100","17",5440917,5469031,-1,"protein_coding","DHX33","DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]"
"ENSG00000005102","ENSG00000005102","17",43640072,43661929,-1,"protein_coding","MEOX1","mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]"
"ENSG00000005108","ENSG00000005108","7",11370365,11832450,-1,"protein_coding","THSD7A","thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
"ENSG00000005156","ENSG00000005156","17",34980462,35009743,1,"protein_coding","LIG3","DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]"
"ENSG00000005175","ENSG00000005175","12",47660814,47706038,-1,"protein_coding","RPAP3","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]"
"ENSG00000005187","ENSG00000005187","16",20610243,20797843,1,"protein_coding","ACSM3","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]"
"ENSG00000005189","ENSG00000005189","16",20806157,20850126,1,"protein_coding","REXO5","RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"ENSG00000005194","ENSG00000005194","16",57428169,57447420,-1,"protein_coding","CIAPIN1","cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]"
"ENSG00000005206","ENSG00000005206","19",2328346,2355100,1,"protein_coding","SPPL2B","signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]"
"ENSG00000005238","ENSG00000005238","9",35104112,35116357,-1,"protein_coding","ATOSB","atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]"
"ENSG00000005243","ENSG00000005243","17",48026142,48038030,-1,"protein_coding","COPZ2","coat protein complex I subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"ENSG00000005249","ENSG00000005249","7",107044627,107161811,1,"protein_coding","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000005302","ENSG00000005302","X",11757788,11776782,1,"protein_coding","MSL3","MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]"
"ENSG00000005339","ENSG00000005339","16",3725054,3880734,-1,"protein_coding","CREBBP","CREB binding lysine acetyltransferase  [Source:HGNC Symbol;Acc:HGNC:2348]"
"ENSG00000005379","ENSG00000005379","17",58301228,58328823,-1,"protein_coding","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"ENSG00000005381","ENSG00000005381","17",58269855,58280935,-1,"protein_coding","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]"
"ENSG00000005421","ENSG00000005421","7",95297108,95325949,-1,"protein_coding","PON1","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]"
"ENSG00000005436","ENSG00000005436","2",75652000,75711184,-1,"protein_coding","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]"
"ENSG00000005448","ENSG00000005448","2",74421477,74425770,1,"protein_coding","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"ENSG00000005469","ENSG00000005469","7",87317127,87399800,1,"protein_coding","CROT","carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]"
"ENSG00000005471","ENSG00000005471","7",87400393,87480435,-1,"protein_coding","ABCB4","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]"
"ENSG00000005483","ENSG00000005483","7",104940943,105116242,1,"protein_coding","KMT2E","lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]"
"ENSG00000005486","ENSG00000005486","7",75842602,75890056,1,"protein_coding","RHBDD2","rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]"
"ENSG00000005513","ENSG00000005513","16",981444,986979,1,"protein_coding","SOX8","SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]"
"ENSG00000005700","ENSG00000005700","6",82169984,82247776,-1,"protein_coding","IBTK","inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]"
"ENSG00000005801","ENSG00000005801","11",3339261,3379222,-1,"protein_coding","ZNF195","zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]"
"ENSG00000005810","ENSG00000005810","13",77042474,77327105,-1,"protein_coding","MYCBP2","MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]"
"ENSG00000005812","ENSG00000005812","13",76992598,77027211,-1,"protein_coding","FBXL3","F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]"
"ENSG00000005844","ENSG00000005844","16",30472658,30523567,1,"protein_coding","ITGAL","integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]"
"ENSG00000005882","ENSG00000005882","17",50094737,50120276,1,"protein_coding","PDK2","pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]"
"ENSG00000005884","ENSG00000005884","17",50055968,50090933,1,"protein_coding","ITGA3","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000005889","ENSG00000005889","X",24148970,24216255,1,"protein_coding","ZFX","zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]"
"ENSG00000005893","ENSG00000005893","X",120426148,120469365,-1,"protein_coding","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
"ENSG00000005961","ENSG00000005961","17",44372177,44389649,-1,"protein_coding","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]"
"ENSG00000005981","ENSG00000005981","7",95478444,95540233,1,"protein_coding","ASB4","ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]"
"ENSG00000006007","ENSG00000006007","16",19501681,19522132,-1,"protein_coding","GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]"
"ENSG00000006015","ENSG00000006015","19",18588685,18592342,1,"protein_coding","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]"
"ENSG00000006016","ENSG00000006016","19",18572220,18607741,-1,"protein_coding","CRLF1","cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]"
"ENSG00000006025","ENSG00000006025","17",47807363,47821890,-1,"protein_coding","OSBPL7","oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]"
"ENSG00000006042","ENSG00000006042","17",32917424,32945259,1,"protein_coding","TMEM98","transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]"
"ENSG00000006047","ENSG00000006047","17",7288253,7294750,-1,"protein_coding","YBX2","Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]"
"ENSG00000006059","ENSG00000006059","17",41345665,41350828,-1,"protein_coding","KRT33A","keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]"
"ENSG00000006062","ENSG00000006062","17",45263119,45317112,-1,"protein_coding","MAP3K14","mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]"
"ENSG00000006071","ENSG00000006071","11",17392498,17476894,-1,"protein_coding","ABCC8","ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]"
"ENSG00000006116","ENSG00000006116","16",24256194,24362412,1,"protein_coding","CACNG3","calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]"
"ENSG00000006118","ENSG00000006118","11",60924453,60937159,1,"protein_coding","TMEM132A","transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]"
"ENSG00000006125","ENSG00000006125","17",35578046,35726417,1,"protein_coding","AP2B1","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]"
"ENSG00000006128","ENSG00000006128","7",97731907,97740472,1,"protein_coding","TAC1","tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]"
"ENSG00000006194","ENSG00000006194","16",3263800,3301705,1,"protein_coding","ZNF263","zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]"
"ENSG00000006210","ENSG00000006210","16",57372457,57385044,1,"protein_coding","CX3CL1","C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]"
"ENSG00000006282","ENSG00000006282","17",50543058,50558366,1,"protein_coding","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]"
"ENSG00000006283","ENSG00000006283","17",50560715,50627474,1,"protein_coding","CACNA1G","calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]"
"ENSG00000006327","ENSG00000006327","16",3018445,3022385,1,"protein_coding","TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
"ENSG00000006377","ENSG00000006377","7",97005553,97011040,1,"protein_coding","DLX6","distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]"
"ENSG00000006432","ENSG00000006432","14",70722526,70809566,-1,"protein_coding","MAP3K9","mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]"
"ENSG00000006451","ENSG00000006451","7",39623445,39708217,1,"protein_coding","RALA","RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]"
"ENSG00000006453","ENSG00000006453","7",98290827,98401213,-1,"protein_coding","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]"
"ENSG00000006459","ENSG00000006459","7",140084746,140177678,-1,"protein_coding","KDM7A","lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]"
"ENSG00000006468","ENSG00000006468","7",13891229,13991425,-1,"protein_coding","ETV1","ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]"
"ENSG00000006530","ENSG00000006530","7",141551278,141657486,1,"protein_coding","AGK","acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]"
"ENSG00000006534","ENSG00000006534","11",68008543,68029282,1,"protein_coding","ALDH3B1","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"ENSG00000006555","ENSG00000006555","1",54779712,54801508,-1,"protein_coding","TTC22","tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"ENSG00000006576","ENSG00000006576","7",77798652,77957503,1,"protein_coding","PHTF2","putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]"
"ENSG00000006606","ENSG00000006606","7",75769533,75789896,-1,"protein_coding","CCL26","C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]"
"ENSG00000006607","ENSG00000006607","2",241356244,241494847,1,"protein_coding","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]"
"ENSG00000006611","ENSG00000006611","11",17493895,17544435,-1,"protein_coding","USH1C","USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]"
"ENSG00000006625","ENSG00000006625","7",30496616,30504866,-1,"protein_coding","GGCT","gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]"
"ENSG00000006634","ENSG00000006634","7",87876216,87909553,1,"protein_coding","DBF4","DBF4-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17364]"
"ENSG00000006638","ENSG00000006638","19",3594506,3606900,-1,"protein_coding","TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]"
"ENSG00000006652","ENSG00000006652","7",112422887,112481017,1,"protein_coding","IFRD1","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]"
"ENSG00000006659","ENSG00000006659","19",39704359,39727560,1,"protein_coding","LGALS14","galectin 14 [Source:HGNC Symbol;Acc:HGNC:30054]"
"ENSG00000006695","ENSG00000006695","17",14069490,14231736,1,"protein_coding","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]"
"ENSG00000006704","ENSG00000006704","7",74452463,74602619,1,"protein_coding","GTF2IRD1","GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]"
"ENSG00000006712","ENSG00000006712","19",39385629,39391154,-1,"protein_coding","PAF1","PAF1 component of Paf1/RNA polymerase II complex [Source:HGNC Symbol;Acc:HGNC:25459]"
"ENSG00000006715","ENSG00000006715","7",38722221,38932394,-1,"protein_coding","VPS41","VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]"
"ENSG00000006740","ENSG00000006740","17",12789463,12991643,1,"protein_coding","ARHGAP44","Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]"
"ENSG00000006744","ENSG00000006744","17",12991268,13018065,-1,"protein_coding","ELAC2","elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]"
"ENSG00000006747","ENSG00000006747","7",12570577,12660182,1,"protein_coding","SCIN","scinderin [Source:HGNC Symbol;Acc:HGNC:21695]"
"ENSG00000006756","ENSG00000006756","X",2903972,2929405,-1,"protein_coding","ARSD","arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"ENSG00000006757","ENSG00000006757","X",7898247,7927739,-1,"protein_coding","PNPLA4","patatin like domain 4, phospholipase and triacylglycerol lipase  [Source:HGNC Symbol;Acc:HGNC:24887]"
"ENSG00000006788","ENSG00000006788","17",10300865,10373130,-1,"protein_coding","MYH13","myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]"
"ENSG00000006831","ENSG00000006831","12",1688574,1788683,1,"protein_coding","ADIPOR2","adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]"
"ENSG00000006837","ENSG00000006837","5",134286350,134371047,-1,"protein_coding","CDKL3","cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]"
